,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
136,University Of Washington,Sociology,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,3.75,580.0,720.0,5.5,False,,American,"(7, 2, 2011)",1297065600,"""Congratulations! Our admissions committee has just completed our preliminary review of applications for our graduate program, and your file stood out to us as someone who would be a great addition to our department.  Therefore, in the next couple of days we will be sending you a letter that invites you to join our graduate program and outlines the details of our offer of funding for your graduate studies at the University of Washington."""
137,University Of Toronto,Mechanical And Industrial Engineering,MS,F11,Interview,Website,"(7, 2, 2011)",1297065600,,,,,,,International with US Degree,"(7, 2, 2011)",1297065600,
138,Pacific University,Clinical Psychology PsyD,Other,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Interview days are 3/4 and 3/5
139,"University Of California, San Diego (UCSD)",Cognitive Science,PhD,F11,Interview,E-mail,"(14, 1, 2011)",1294992000,3.76,640.0,780.0,5.5,False,,American,"(7, 2, 2011)",1297065600,Open house at department on 02/10 and 02/11...
140,UW-Madison,Spanish,PhD,F11,Accepted,Phone,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
141,U Illinois- Urbana,Spanish,PhD,F11,Accepted,E-mail,"(31, 1, 2011)",1296460800,,,,,,,American,"(7, 2, 2011)",1297065600,
142,Washington University in St. Louis (WashU/WUSTL),Political Science,PhD,F11,Wait listed,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Ignore the WUSTL post below that has ""Interview via Postal"" listed under Decision & Date. My mistake."
143,University Of Minnesota Twin Cities,Sociology,PhD,F11,Rejected,Website,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"womp, womp. rejected via website, no email notification."
144,Washington University in St. Louis (WashU/WUSTL),Political Science,PhD,F11,Interview,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
145,University Of Virginia (UVA),Mathematics,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
146,University Of Illinois - Urbana Champaign,Computer Science,PhD,F11,Accepted,E-mail,"(1, 2, 2011)",1296547200,4.0,800.0,440.0,3.0,False,,International,"(7, 2, 2011)",1297065600,I got an RA!!
147,University Of Maryland College Park,Chemistry,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"They usually send offers very late, so this is a nice surprise :) Good luck to everybody else!"
148,"University Of Illinois, Urbana Champaign (UIUC)",Molecular & Cellular Biology,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
149,"University Of Minnesota, Twin Cities",Sociology,PhD,F11,Rejected,Website,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,"second rejection this year, what can i do now..."
150,Catholic University Of America,History,PhD,F11,Accepted,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,No mention of funding.
151,University Of Texas-Austin,Sociology,PhD,F11,Rejected,Phone,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,I called Evelyn in the Sociology department and she told me that their incoming cohort will be very small this year due to funding constraints.  She also gave me lots of feedback about my application and told me that I wasn't a perfect fit.  She was very nice though and very informative.
152,University Of South Florida,Ancient History,MS,F11,,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Per email from program coordinator, applications are out to the faculty members for individual review, and the committee will be meeting next week at the earliest to decide.  This applies to all history fields."
153,"University Of Wisconsin, Madison",French,PhD,F11,Accepted,Postal Service,"(31, 1, 2011)",1296460800,,,,,,,American,"(7, 2, 2011)",1297065600,
154,"University Of California, Berkeley (UCB)",Mathematics,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,Can't believe it :)
155,"University Of California, Berkeley (UCB)",Applied Mathematics,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
156,"University Of Minnesota, Twin Cities (UMN)",Communicative Disorders / Speech Language Pathology,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
157,Northwestern University,Mechanical Engineering,PhD,F11,Accepted,E-mail,"(1, 2, 2011)",1296547200,,,,,,,American,"(7, 2, 2011)",1297065600,
158,University Of Pittsburgh GSPH,Biostatistics,Other,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Still wait for the funding decision
159,University Of Louisville,English (Composition & Rhetoric),PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"campus visit, 4 years of GTA funding, and nominated for university fellowship."
160,University Of Michigan-Ann Arbor,Nuclear Engineering,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Invited to Graduate Weekend - All expenses paid
161,"University Of Washington, Seattle (UW)",Molecular And Cellular Biology (MCB),PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
162,Stanford University,Linguistics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,3.98,700.0,770.0,5.5,False,,American,"(7, 2, 2011)",1297065600,
163,"University Of Arizona, Tucson",Journalism,MS,F11,Accepted,Postal Service,"(5, 2, 2011)",1296892800,,,,,,,American,"(7, 2, 2011)",1297065600,
164,University Of Washington,Sociology,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,
165,University Of Southern California (USC),Program In Biomedical And Biological Sciences(PIBBS),PhD,F11,Interview,Phone,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
166,Stanford University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
167,Stanford University,Pure Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,4.0,610.0,800.0,3.0,False,,International,"(7, 2, 2011)",1297065600,International male. Highest degree from outside USA
168,University Of Texas Southwestern Medical Center Dallas(UTSW),Division Of Basic Science,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
169,Arizona State University (ASU),Astrophysics,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"""Recommendation for admission to PhD graduate program"" - should receive a formal admissions offer within the next few days. First school I've heard back from, I actually get to go to grad school, what a relief! :)"
170,Georgia State University,Moving Image Studies,PhD,F11,Rejected,Postal Service,"(4, 2, 2011)",1296806400,,,,,,,,"(7, 2, 2011)",1297065600,
171,Columbia University (GSAS),Department Of Earth And Environmental Science,PhD,F11,Accepted,E-mail,"(4, 2, 2011)",1296806400,,,,,,,American,"(7, 2, 2011)",1297065600,
172,Pittsburgh University,Hispanic Languages And Literature,PhD,F11,Accepted,E-mail,"(4, 2, 2011)",1296806400,,,,,,,International,"(7, 2, 2011)",1297065600,
173,University Of Toronto,Linguistics,MS,F11,Accepted,Phone,"(28, 1, 2011)",1296201600,,,,,,,International,"(7, 2, 2011)",1297065600,
174,Stanford University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,go cal
175,New York University (NYU),Linguistics,PhD,F11,Wait listed,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
176,University Of Arizona,Astronomy,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
177,Arizona State University (ASU),Astronomy,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
178,"University Of Michigan, Ann Arbor",Architecture,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,invite to feb 18th campus interview
179,New York University (NYU),Linguistics,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,an informal letter from a POI saying that I've got a 5-year full funding
180,Washington University in St. Louis (WashU/WUSTL),Political Science,PhD,F11,Rejected,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,Expected.
181,Stanford University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
182,Chatham University,Creative Writing,MFA,F11,Accepted,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
183,Stanford University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Ah, whatever, who cares."
184,University Of Southern California (USC),Urban Education,PhD,F11,Rejected,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
185,University Of Arizona,Astronomy,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Letter attached to e-mail.
186,Stanford University,Applied Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,3.95,670.0,800.0,4.0,False,570.0,American,"(7, 2, 2011)",1297065600,
187,Ball State University,Counseling Psychology,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
188,Stanford University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,bummer.
189,University Of Arizona,English And Philosophy,PhD,F11,,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Received an email requesting docu*ents that were inaccessible from my original application (whoops) - writing sample and statement of purpose.
190,Stanford University,Pure Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International with US Degree,"(7, 2, 2011)",1297065600,Expected but still sad
191,Ohio State University (OSU),English,PhD,F11,Accepted,Website,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Checked website, saw the result."
192,Indiana University-Bloomington,American History,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,3.8,710.0,550.0,5.5,False,,American,"(7, 2, 2011)",1297065600,"$15,000 for 5 years"
193,Michigan State University,Clinical Psychology,PhD,F11,Rejected,E-mail,"(31, 1, 2011)",1296460800,,,,,,,American,"(7, 2, 2011)",1297065600,
194,Washington University in St. Louis (WashU/WUSTL),Political Science,PhD,F11,Rejected,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
195,Yale University,Physics,PhD,F11,Rejected,Website,"(7, 2, 2011)",1297065600,3.6,570.0,800.0,4.0,False,890.0,International,"(7, 2, 2011)",1297065600,
196,"University Of Illinois, Urbana Champaign",Civil And Environmental Engineering,MS,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
197,University Of Michigan,Personality & Social Contexts-Psychology,PhD,F11,Rejected,E-mail,"(26, 1, 2011)",1296028800,,,,,,,American,"(7, 2, 2011)",1297065600,
198,Yale University,Physics,PhD,F11,Accepted,Website,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,
199,Stanford University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International with US Degree,"(7, 2, 2011)",1297065600,Darn
200,University Of Colorado,Clinical Psychology,PhD,F11,Rejected,E-mail,"(21, 1, 2011)",1295596800,,,,,,,American,"(7, 2, 2011)",1297065600,
201,DePaul University,Clinical Psychology- Community Track,PhD,F11,Wait listed,E-mail,"(28, 1, 2011)",1296201600,,,,,,,American,"(7, 2, 2011)",1297065600,
202,University Of Illinois At Chicago UIC,Community & Prevention Psychology,PhD,F11,Interview,Phone,"(11, 1, 2011)",1294732800,,,,,,,American,"(7, 2, 2011)",1297065600,
203,"University Of Illinois, Urbana Champaign (UIUC)",Geological Sciences,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,University fellowship
204,Idaho State University,Clinical Psychology,PhD,F11,Interview,E-mail,"(2, 2, 2011)",1296633600,,,,,,,American,"(7, 2, 2011)",1297065600,
205,Indiana University Bloomington,Outdoor Recreation,MS,F11,Accepted,Postal Service,"(7, 2, 2011)",1297065600,3.08,800.0,540.0,5.0,False,,American,"(7, 2, 2011)",1297065600,"Pretty stoked - one of my top choices. 3.0 GPA, 800V/540Q/5.0AW. No decision on funding yet - could be anytime between now and June, per the letter."
206,University Of North Dakota,Clinical Psychology,PhD,F11,Interview,E-mail,"(3, 2, 2011)",1296720000,,,,,,,American,"(7, 2, 2011)",1297065600,
207,Kent State University,Higher Education,MS,F11,Accepted,E-mail,"(5, 2, 2011)",1296892800,,,,,,,American,"(7, 2, 2011)",1297065600,Invited to the assistantship interviews on March 6th-7th.
208,University Of Northern Colorado,Counseling Psychology,PhD,F11,Interview,E-mail,"(7, 1, 2011)",1294387200,,,,,,,American,"(7, 2, 2011)",1297065600,
209,Ohio University (OU),Higher Education,MS,F11,Interview,E-mail,"(1, 2, 2011)",1296547200,,,,,,,American,"(7, 2, 2011)",1297065600,Invited to to the interview weekend on February 25th-26th.
210,The University Of Tulsa,Clinical Psychology,PhD,F11,Interview,Phone,"(19, 12, 2010)",1292745600,,,,,,,American,"(7, 2, 2011)",1297065600,
211,University Of Pennsylvania (UPenn),European History,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Email from DGS: We are now in the final stages of our admissions process and I would like to invite you to visit our department on Friday, February 25th, 2011.  We will be making final admissions decisions shortly thereafter."
212,University Of Arkansas,Clinical Psychology,PhD,F11,Interview,E-mail,"(16, 1, 2011)",1295164800,,,,,,,American,"(7, 2, 2011)",1297065600,
213,Yale University,Physics,PhD,F11,Rejected,Website,"(7, 2, 2011)",1297065600,3.7,800.0,630.0,3.0,False,980.0,International,"(7, 2, 2011)",1297065600,Your application to the Physics program has been reviewed and a decision has been reached.
214,Virginia Commonwealth University (VCU),Medical Physics,MS,F11,Accepted,Postal Service,"(27, 1, 2011)",1296115200,,,,,,,American,"(7, 2, 2011)",1297065600,
215,University Of Wyoming,Clinical Psychology,PhD,F11,Interview,Phone,"(26, 1, 2011)",1296028800,,,,,,,American,"(7, 2, 2011)",1297065600,
216,Yale University,Physics,PhD,F11,Rejected,Website,"(7, 2, 2011)",1297065600,3.7,590.0,780.0,4.5,False,880.0,American,"(7, 2, 2011)",1297065600,
217,University Of Illinois Urbana Champaign,Clinical Psychology,PhD,S11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,
218,Stanford University,Linguistics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
219,"University Of California, San Diego (UCSD)",Communication,PhD,F11,Wait listed,E-mail,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,Cited funding problems and reduced number of admits this year
220,University Of Washington,Computer Science,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
221,Stanford University,Political Science,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,
222,"University Of Colorado, Boulder",Astronomy And Physics,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,3.8,530.0,800.0,4.0,False,990.0,International,"(7, 2, 2011)",1297065600,"Good recos from reknowed prof, Phy GRE 990 rank 1 in my degree. got TA/RA offer."
223,Georgetown University,Computer Science,MS,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Applied for PhD, accepted for Masters"
224,Emory University Rollins School Of Public Health,Behavioral Science And Health Education,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
225,Stanford University,Linguistics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,eh wasn't too surprised
226,Stanford University,Linguistics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
227,Emory University,Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
228,University Of Maryland,Human Development,PhD,F11,,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Invited to recruitment day on March 4th
229,University Of Virginia (Curry School Of Education),School And Clinical Psychology,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,
230,Stanford University,(Historical) Linguistics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
231,Harvard University,Chemistry,PhD,F11,Rejected,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
232,University Of Notre Dame,Department Of Political Science,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,
233,University Of Notre Dame,English,PhD,F11,Accepted,Phone,"(7, 2, 2011)",1297065600,3.89,800.0,770.0,4.0,False,740.0,American,"(7, 2, 2011)",1297065600,First acceptance! Eeeee!
234,USC University Of Southern California,PIBBS(Programs In Biomedical & Biological Science),PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
235,"University Of California, Berkeley (UCB)",Marketing,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International with US Degree,"(7, 2, 2011)",1297065600,
236,"University Of Michigan, Ann Arbor",Bioinformaticsmatics,PhD,F11,Accepted,Phone,"(3, 2, 2011)",1296720000,,,,,,,American,"(7, 2, 2011)",1297065600,
237,University Of Pennsylvania,Genomics And Computational Biology,PhD,F11,Interview,E-mail,"(3, 2, 2011)",1296720000,,,,,,,American,"(7, 2, 2011)",1297065600,
238,University Of Southern California (USC),Cinematic Arts - Critical Studies,PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
239,Ball State University,Counseling Psychology,PhD,F11,Interview,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Out of 80 applicants with Masters degrees, 28 are still being considered.  Interview is Friday, February 25."
240,University Of Southern California (USC),PIBBS(Programs In Biomedical & Biological Science),PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International with US Degree,"(7, 2, 2011)",1297065600,
241,The University Of Memphis,Clinical Psychology (behavioral Medicine Track)hology,PhD,F11,Interview,Other,"(7, 2, 2011)",1297065600,,,,,,,,"(7, 2, 2011)",1297065600,Unofficial talk with POI
242,"University Of California, Davis (UCD)",History (US-Latin America),PhD,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
243,University Of Nebraska Lincoln,Sociology,PhD,F11,Accepted,Phone,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,Funding to be announced later this month. First acceptance!
244,Northwestern University,History (European),PhD,F11,Rejected,Website,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,
245,Stanford University,Pure Mathematics,PhD,F11,Rejected,E-mail,"(7, 2, 2011)",1297065600,,,,,,,International,"(7, 2, 2011)",1297065600,"to poster below, I didn't inquire about status, just received the canonical rejection email"
246,Rice University,Art History,PhD,F11,Accepted,Postal Service,"(7, 2, 2011)",1297065600,,,,,,,American,"(7, 2, 2011)",1297065600,"Admitted; being flown down for recruitment weekend.  On a ""short waiting list for financial aid."""
247,"University Of California, Berkeley (UCB)",Information Management & Systems,MS,F11,Accepted,E-mail,"(7, 2, 2011)",1297065600,3.6,710.0,800.0,3.5,False,,International,"(7, 2, 2011)",1297065600,
248,University Of Central Florida (UCF),Computer Science (AI / Artificial Life),PhD,F11,Accepted,E-mail,"(4, 2, 2011)",1296806400,3.95,500.0,760.0,4.5,False,,International with US Degree,"(7, 2, 2011)",1297065600,
249,Yale University,Astronomy,PhD,F11,Accepted,E-mail,"(6, 2, 2011)",1296979200,,,,,,,International,"(7, 2, 2011)",1297065600,
