,greV,greQ,greA,cgpa,univName
42799,151.0,157.0,5.0,3.49,"University Of California, Irvine"
42815,160.0,166.0,4.0,3.75,Carnegie Mellon University
42820,163.0,160.0,0.0,3.78,University Of Minnesota
42828,168.0,146.0,4.5,3.8,University Of Oregon
42835,168.0,164.0,0.0,3.7,New York University
42838,164.0,168.0,0.0,3.6,University Of Chicago
42840,169.0,166.0,5.5,3.85,University Of Iowa
42887,165.0,157.0,5.0,3.54,Tufts University
42932,168.0,170.0,5.5,3.8,Duke University
42940,168.0,166.0,5.0,3.2,University Of Southern California
42945,155.0,169.0,3.0,3.54,Carnegie Mellon University
42956,170.0,159.0,4.0,3.72,Carnegie Mellon University
42964,164.0,168.0,0.0,3.6,University Of Chicago
42972,158.0,169.0,3.5,3.0,Purdue University
42974,152.0,167.0,3.0,3.9,"University Of California, San Diego"
42975,160.0,148.0,5.5,3.77,University Of Minnesota
42980,154.0,162.0,5.0,3.38,University Of Kentucky
43005,167.0,134.0,5.0,3.69,University Of Toronto
43028,166.0,149.0,3.0,3.6,New York University
43071,169.0,145.0,3.0,3.67,University Of Michigan
43080,157.0,170.0,0.0,3.77,UC San Diego (UCSD)
43085,166.0,160.0,3.5,3.9,University Of Cincinnati
43093,162.0,170.0,3.5,4.0,University Of Washington
43138,158.0,166.0,4.0,3.46,University Of Texas At Dallas
43161,158.0,162.0,3.5,3.65,University Of Pittsburgh
43190,170.0,162.0,4.5,4.0,University Of Chicago
43198,156.0,160.0,5.0,3.76,"University Of California, Berkeley"
43211,157.0,168.0,3.5,3.34,Syracuse University
43226,170.0,168.0,5.5,3.96,Stanford University
43240,151.0,163.0,4.0,3.6,"University Of California, Irvine"
43274,160.0,158.0,4.5,3.9,University Of Chicago
43286,165.0,170.0,3.5,3.97,Yale University
43298,153.0,153.0,4.5,3.1,Ohio State University
43300,153.0,153.0,4.5,3.1,Michigan State University
43304,153.0,153.0,4.5,3.1,Penn State (Pennsylvania State University)
43308,153.0,153.0,4.5,3.1,University Of Iowa
43318,158.0,160.0,5.0,3.5,University Of Southern California
43334,163.0,170.0,5.0,3.92,University Of Toronto
43340,159.0,165.0,4.5,4.0,University Of Oregon
43354,146.0,168.0,4.0,3.6,University Of Southern California
43363,160.0,169.0,4.0,3.92,Boston University
43369,165.0,170.0,3.0,4.0,University Of Wisconsin-Madison
43384,151.0,170.0,3.5,3.5,Texas A&M University
43406,167.0,150.0,6.0,3.89,McGill University
43407,167.0,150.0,6.0,4.0,Northwestern University
43460,151.0,168.0,3.0,3.87,Purdue University
43511,167.0,151.0,5.0,3.79,University Of Texas At Austin
43518,170.0,166.0,4.5,4.0,"University Of Michigan, Ann Arbor"
43523,158.0,152.0,5.0,3.81,University Of South Carolina
43524,162.0,159.0,4.5,3.9,Georgia State University
43532,159.0,170.0,3.5,3.8,University Of Maryland College Park
43534,150.0,170.0,3.5,3.62,Northeastern University
43538,170.0,150.0,3.5,3.62,Northeastern University
43550,161.0,169.0,4.5,3.46,Cornell University
43562,161.0,170.0,4.5,3.98,University Of Washington
43581,160.0,168.0,5.0,3.82,University Of Chicago
43593,163.0,167.0,5.5,3.99,Penn State (Pennsylvania State University)
43609,164.0,161.0,5.5,2.95,University Of Washington
43617,163.0,163.0,5.0,3.49,University Of Michigan
43634,164.0,169.0,4.0,3.78,University Of Michigan
43642,170.0,168.0,6.0,3.74,University Of Notre Dame
43673,152.0,153.0,0.0,3.83,Ohio State University
43675,152.0,153.0,0.0,3.83,"University Of Colorado, Boulder"
43678,152.0,153.0,0.0,3.83,Purdue University - West Lafayette
43691,162.0,167.0,5.0,3.68,Purdue University - West Lafayette
43695,160.0,165.0,4.0,3.92,University Of Chicago
43707,166.0,161.0,4.5,3.94,"University Of Colorado, Boulder"
43708,161.0,169.0,4.0,3.92,Yale University
43714,150.0,152.0,3.5,3.77,University Of Iowa
43722,161.0,151.0,4.5,3.98,American University
43731,167.0,170.0,5.5,4.0,Harvard University
43754,161.0,160.0,5.5,3.95,Duke University
43782,161.0,170.0,4.0,3.82,"University Of Californa, Los Angeles (UCLA)"
43814,161.0,165.0,3.5,3.5,University Of Notre Dame
43828,165.0,160.0,4.5,3.8,Cornell University
43852,152.0,159.0,5.0,3.27,Boston University
43854,163.0,155.0,5.0,3.94,University Of Kentucky
43868,167.0,164.0,5.0,3.72,"University Of Michigan, Ann Arbor"
43874,159.0,152.0,4.0,3.3,University Of Oregon
43878,148.0,157.0,3.0,3.27,University Of Texas At Dallas
43932,159.0,170.0,3.5,3.89,University Of Texas At Dallas
43942,154.0,159.0,3.5,3.9,Cornell University
43947,162.0,167.0,4.5,3.5,"University Of California, Los Angeles (UCLA)"
43956,170.0,170.0,5.0,4.0,American University
43960,166.0,167.0,5.5,3.79,Duke University
43981,149.0,167.0,3.5,3.13,University Of Texas At Dallas
44012,162.0,159.0,4.5,3.8,American University
44017,164.0,167.0,4.0,3.95,University Of Michigan
44020,170.0,166.0,4.5,3.78,University Of Pittsburgh
44047,155.0,169.0,3.0,3.55,"University Of Colorado, Boulder"
44048,162.0,170.0,4.0,3.98,Stanford University
44049,155.0,169.0,3.5,3.82,Rice University
44060,165.0,165.0,4.5,3.6,Rutgers University
44064,165.0,165.0,4.0,3.96,Carnegie Mellon University
44073,164.0,166.0,4.5,3.9,Indiana University Bloomington
44097,167.0,162.0,4.0,3.96,University Of Utah
44102,170.0,160.0,6.0,3.99,University Of Toronto
44107,156.0,168.0,4.5,4.0,Northwestern University
44125,157.0,160.0,4.5,3.57,"University Of California, Davis"
44145,167.0,156.0,5.0,3.5,Tufts University
44155,163.0,170.0,4.5,3.93,"University Of California, Irvine"
44163,160.0,165.0,4.0,3.92,Northwestern University
44165,160.0,165.0,4.0,3.92,Princeton University
44181,170.0,168.0,5.0,4.0,Stanford University
44195,167.0,168.0,5.0,3.9,Purdue University - West Lafayette
44196,161.0,170.0,3.5,3.9,Duke University
44224,164.0,155.0,4.5,3.71,Indiana University Bloomington
44225,168.0,170.0,4.5,3.84,UC San Diego (UCSD)
44234,163.0,166.0,5.5,3.6,Indiana University Bloomington
44241,163.0,166.0,5.5,3.6,Michigan State University
44244,161.0,167.0,5.5,3.8,Vanderbilt University
44252,164.0,166.0,5.5,3.65,Northwestern University
44253,164.0,166.0,5.5,3.65,The University Of Chicago
44265,157.0,154.0,5.0,3.51,American University
44276,162.0,155.0,5.0,3.8,University Of Virginia
44281,170.0,162.0,5.5,4.0,University Of Rochester
44284,157.0,159.0,4.5,3.97,Arizona State University
44301,157.0,159.0,3.5,3.98,"University Of Colorado, Boulder"
44311,152.0,150.0,4.0,3.96,Arizona State University
44315,160.0,160.0,5.0,3.56,Carnegie Mellon University
44334,150.0,155.0,4.0,3.8,Arizona State University
44351,154.0,162.0,4.5,3.8,Purdue University - West Lafayette
44360,165.0,158.0,4.5,3.9,Penn State (Pennsylvania State University)
44397,156.0,170.0,4.5,4.0,Carnegie Mellon University
44408,143.0,163.0,3.0,2.5,University Of Texas At Dallas
44429,167.0,163.0,6.0,3.68,Syracuse University
44432,159.0,158.0,4.0,3.65,Washington University in St. Louis (WashU/WUSTL)
44436,167.0,160.0,3.5,3.9,Carnegie Mellon University
44439,162.0,163.0,5.0,3.7,Duke University
44443,167.0,161.0,4.5,3.66,Columbia University
44448,167.0,166.0,5.0,3.9,University Of Pittsburgh
44449,152.0,170.0,3.5,3.96,Carnegie Mellon University
44492,154.0,167.0,4.5,3.6,Carnegie Mellon University
44496,161.0,157.0,5.0,4.0,UNC Chapel Hill
44512,152.0,170.0,3.0,3.38,North Carolina State University
44516,168.0,162.0,4.5,3.9,Rice University
44536,161.0,147.0,4.0,3.1,Texas A&M University
44542,159.0,167.0,3.5,3.95,University Of Southern California
44549,162.0,170.0,5.0,3.99,Carnegie Mellon University
44552,166.0,153.0,5.5,3.9,American University
44555,159.0,167.0,4.0,3.35,"University Of Californa, Los Angeles (UCLA)"
44556,165.0,152.0,4.5,3.95,Columbia University
44569,155.0,170.0,4.0,3.3,Carnegie Mellon University
44578,170.0,165.0,6.0,4.0,University Of Chicago
44592,161.0,168.0,4.0,3.73,University Of Washington
44593,164.0,163.0,4.5,3.98,Washington University in St. Louis (WashU/WUSTL)
44637,152.0,164.0,4.0,3.56,Washington University in St. Louis (WashU/WUSTL)
44642,165.0,157.0,5.0,3.6,University Of Chicago
44647,162.0,170.0,3.5,3.88,Washington University in St. Louis (WashU/WUSTL)
44653,159.0,170.0,2.5,3.84,Northwestern University
44663,149.0,170.0,4.0,3.23,University Of Wisconsin-Madison
44681,164.0,147.0,4.5,3.76,"University Of Colorado, Boulder"
44688,154.0,162.0,5.0,4.0,Texas A&M University
44698,160.0,160.0,5.0,4.0,Purdue University - West Lafayette
44702,151.0,167.0,4.0,3.55,University Of Southern California
44706,159.0,154.0,4.5,3.32,University Of Michigan
44713,169.0,168.0,5.5,3.92,UC Berkeley
44733,165.0,165.0,4.5,3.98,Brown University
44740,160.0,168.0,4.5,9.28,Carnegie Mellon University
44762,161.0,157.0,5.0,3.5,UNC Chapel Hill
44772,165.0,150.0,4.5,3.85,UC San Diego (UCSD)
44774,157.0,170.0,3.5,3.5,Washington University in St. Louis (WashU/WUSTL)
44781,151.0,170.0,3.5,3.79,Stanford University
44784,157.0,170.0,3.5,3.5,Washington University in St. Louis (WashU/WUSTL)
44806,155.0,170.0,4.0,3.89,Carnegie Mellon University
44811,156.0,169.0,3.5,3.2,Boston University
44816,158.0,151.0,4.0,3.65,University Of Texas At Austin
44820,163.0,166.0,4.5,3.8,Yale University
44831,164.0,161.0,6.0,3.98,Texas A&M University
44860,161.0,165.0,5.5,4.0,"University Of California, Berkeley"
44865,167.0,156.0,6.0,4.0,University Of Chicago
44876,161.0,169.0,4.0,3.9,University Of Chicago
44884,163.0,167.0,4.0,3.96,University Of Maryland
44886,163.0,167.0,4.0,3.96,North Carolina State University
44903,170.0,170.0,5.0,3.96,University Of Chicago
44914,161.0,149.0,4.5,3.82,Northwestern University
44925,167.0,150.0,4.0,3.53,University Of Pittsburgh
44941,167.0,170.0,4.5,3.73,"University Of Californa, Los Angeles (UCLA)"
44966,158.0,170.0,4.0,3.93,University Of Washington
44978,149.0,168.0,3.0,3.39,University Of Florida
44986,164.0,170.0,5.5,3.9,Duke University
44998,159.0,170.0,5.0,3.8,Duke University
45001,169.0,169.0,6.0,3.8,Duke University
45010,162.0,151.0,4.0,3.9,Texas A&M University
45014,166.0,165.0,4.5,3.98,University Of South Carolina
45015,154.0,170.0,4.5,3.94,Carnegie Mellon University
45016,166.0,165.0,4.5,3.98,Purdue University
45026,162.0,166.0,4.5,3.72,Purdue University - West Lafayette
45034,156.0,155.0,3.5,3.92,Johns Hopkins University
45036,161.0,157.0,5.0,4.0,University Of Maryland College Park
45051,166.0,156.0,5.5,3.67,Duke University
45068,164.0,158.0,5.0,4.0,University Of Cincinnati
45069,168.0,161.0,5.5,3.92,Duke University
45074,157.0,158.0,6.0,3.9,University Of Maryland College Park
45081,165.0,170.0,4.0,3.8,Columbia University
45088,153.0,161.0,3.5,3.0,New York University
45113,163.0,155.0,4.0,3.97,Penn State University
45122,162.0,168.0,4.5,3.72,Johns Hopkins University
45126,159.0,160.0,5.0,3.68,University Of Washington
45133,157.0,165.0,4.5,3.52,Indiana University Bloomington
45139,163.0,160.0,3.0,4.0,University Of Southern California
45141,168.0,168.0,4.5,3.96,Cornell University
45155,159.0,168.0,4.5,4.0,Penn State University
45159,155.0,170.0,4.0,3.89,Carnegie Mellon University
45163,168.0,152.0,4.0,3.9,Northwestern University
45164,167.0,167.0,5.0,3.85,University Of Michigan
45175,161.0,154.0,4.5,4.0,Purdue University - West Lafayette
45179,152.0,164.0,4.0,3.56,Northeastern University
45186,160.0,155.0,4.5,4.0,University Of South Carolina
45214,149.0,168.0,3.0,3.84,Stanford University
45219,168.0,166.0,5.0,3.8,Brown University
45227,158.0,151.0,4.5,3.8,North Carolina State University
45246,160.0,162.0,5.0,3.93,Purdue University
45247,159.0,158.0,5.0,3.63,Penn State (Pennsylvania State University)
45262,165.0,170.0,4.0,3.92,Cornell University
45277,158.0,165.0,4.0,3.95,University Of Wisconsin - Madison
45287,150.0,159.0,5.5,3.46,American University
45290,160.0,147.0,5.5,3.6,University Of Washington
45296,156.0,165.0,5.0,3.4,Boston University
45300,156.0,165.0,5.0,3.4,Indiana University Bloomington
45304,156.0,165.0,5.0,3.4,University Of Utah
45311,165.0,160.0,5.0,3.79,Penn State (Pennsylvania State University)
45415,168.0,170.0,4.5,3.84,University Of Southern California
45428,157.0,170.0,3.5,3.5,Cornell University
45431,163.0,170.0,5.0,4.0,University Of Southern California
45438,167.0,164.0,4.0,3.74,UC San Diego (UCSD)
45449,149.0,166.0,3.0,3.6,University Of Southern California
45463,154.0,168.0,3.0,3.72,"University Of Colorado, Boulder"
45464,154.0,168.0,3.0,3.72,University Of Wisconsin-Madison
45466,160.0,170.0,4.0,4.0,Cornell University
45467,156.0,170.0,5.0,3.67,Ohio State University
45468,158.0,160.0,5.0,3.7,University Of South Carolina
45471,156.0,170.0,3.0,3.77,UC San Diego (UCSD)
45474,148.0,163.0,3.5,3.45,Arizona State University
45482,167.0,162.0,5.0,3.1,Cornell University
45484,160.0,154.0,5.5,3.71,University Of Pittsburgh
45492,160.0,161.0,5.0,3.44,UC San Diego (UCSD)
45497,161.0,166.0,5.5,3.82,University Of Rochester
45499,161.0,166.0,5.5,3.82,Northeastern University
45507,168.0,164.0,5.0,3.7,Northwestern University
45512,165.0,167.0,4.0,3.75,Penn State University
45514,165.0,167.0,5.0,3.75,Ohio State University
45516,148.0,162.0,4.0,3.96,Ohio State University
45522,170.0,163.0,5.5,4.0,Princeton University
45554,170.0,161.0,5.5,3.83,Vanderbilt University
45555,148.0,170.0,3.0,3.2,Boston University
45564,160.0,168.0,4.0,3.0,Temple University
45569,165.0,157.0,4.5,3.9,"University Of California, Irvine"
45583,163.0,163.0,5.0,3.87,"University Of Colorado, Boulder"
45600,161.0,168.0,3.5,4.0,University Of Michigan
45617,161.0,159.0,5.0,3.9,"University Of California, Berkeley"
45631,150.0,165.0,3.5,3.3,University Of South Carolina
45636,161.0,145.0,4.5,3.6,"University Of California, Berkeley"
45643,162.0,158.0,4.0,3.8,University Of Pennsylvania
45650,164.0,170.0,5.0,3.9,"University Of California, Berkeley"
45659,151.0,157.0,5.0,3.49,"University Of Californa, Los Angeles (UCLA)"
45662,160.0,159.0,0.0,3.8,University Of Connecticut
45675,157.0,154.0,3.5,3.64,"University Of California, Berkeley"
45680,158.0,168.0,4.5,3.9,University Of Toronto
45698,161.0,170.0,4.5,3.99,Yale University
45699,161.0,170.0,4.5,3.99,Carnegie Mellon University
45702,161.0,155.0,4.0,3.95,"University Of California, Irvine"
45705,162.0,170.0,5.0,4.0,University Of Washington
45734,157.0,167.0,4.0,3.23,George Washington University
45738,148.0,170.0,3.5,3.95,Boston University
45751,159.0,160.0,4.0,3.93,Rutgers University
45760,166.0,168.0,4.0,3.97,North Carolina State University
45796,164.0,149.0,3.0,3.85,University Of Washington
45809,170.0,170.0,5.0,3.92,University Of Michigan
45855,165.0,155.0,5.0,3.39,University Of Pittsburgh
45870,170.0,157.0,3.5,3.73,University Of Washington
45880,158.0,150.0,5.5,3.7,Indiana University Bloomington
45887,168.0,168.0,3.5,3.48,Cornell University
45902,154.0,145.0,3.5,3.45,University Of Kentucky
45905,158.0,152.0,3.5,3.98,"University Of Californa, Los Angeles (UCLA)"
45918,162.0,170.0,4.0,3.69,Washington University in St. Louis (WashU/WUSTL)
45919,163.0,168.0,6.0,3.86,"University Of California, Berkeley"
45923,159.0,166.0,3.5,2.95,University Of Wisconsin-Madison
45929,162.0,158.0,4.0,3.8,Columbia University
45930,162.0,158.0,4.0,3.8,University Of Notre Dame
45934,146.0,162.0,3.0,4.05,Ohio State University
45938,164.0,163.0,5.0,3.92,"University Of California, Berkeley"
45941,163.0,157.0,5.0,3.99,"University Of California, Berkeley"
45955,164.0,168.0,4.5,3.96,"University Of California, Berkeley"
45969,151.0,170.0,3.5,3.7,New York University
45975,169.0,170.0,4.5,3.96,Carnegie Mellon University
45981,156.0,170.0,4.5,3.9,Northeastern University
45984,166.0,146.0,6.0,4.15,Stanford University
45992,169.0,169.0,6.0,3.8,University Of Washington
46001,162.0,170.0,0.0,4.0,Carnegie Mellon University
46013,162.0,166.0,4.5,3.39,Johns Hopkins University
46027,166.0,170.0,4.5,3.8,Carnegie Mellon University
46031,151.0,167.0,3.5,3.39,Northeastern University
46051,167.0,149.0,5.0,3.9,Stanford University
46071,165.0,154.0,4.5,3.98,Texas A&M University
46073,161.0,153.0,5.0,4.0,University Of Washington
46083,154.0,161.0,6.0,3.8,University Of Wisconsin-Madison
46087,154.0,161.0,6.0,3.8,"University Of California, Berkeley"
46110,151.0,167.0,3.0,3.42,Northeastern University
46115,169.0,168.0,5.0,3.98,Cornell University
46118,157.0,147.0,5.0,3.87,Duke University
46124,162.0,161.0,0.0,3.53,University Of Washington
46127,160.0,150.0,4.5,3.4,Texas A&M University
46131,156.0,159.0,5.0,3.75,Northwestern University
46134,164.0,163.0,4.0,3.94,Indiana University Bloomington
46142,163.0,166.0,5.5,3.64,Indiana University Bloomington
46158,163.0,160.0,5.0,3.69,Johns Hopkins University
46172,160.0,167.0,4.0,3.93,University Of Notre Dame
46183,165.0,169.0,4.5,3.9,Carnegie Mellon University
46202,163.0,155.0,4.0,3.97,Michigan State University
46210,155.0,170.0,3.5,4.0,University Of Notre Dame
46214,160.0,170.0,5.5,3.99,University Of Maryland College Park
46215,169.0,170.0,5.5,3.99,University Of Maryland College Park
46250,159.0,164.0,5.0,4.0,University Of Minnesota
46251,152.0,165.0,3.0,3.9,University Of Washington
46253,166.0,160.0,4.5,4.0,Johns Hopkins University
46263,168.0,166.0,5.0,3.8,University Of Minnesota
46292,167.0,167.0,5.5,4.0,University Of Michigan
46293,170.0,170.0,5.0,3.91,University Of Michigan
46307,168.0,170.0,5.5,3.8,Ohio State University
46308,156.0,165.0,5.5,4.0,Stanford University
46320,167.0,167.0,4.5,4.0,University Of Georgia
46324,162.0,166.0,4.5,3.86,University Of Maryland College Park
46326,169.0,159.0,4.5,4.0,UC San Diego (UCSD)
46358,166.0,168.0,5.0,3.59,"University Of Californa, Los Angeles (UCLA)"
46360,161.0,170.0,4.0,3.97,UNC Chapel Hill
46385,156.0,160.0,4.0,3.4,Carnegie Mellon University
46387,168.0,165.0,5.0,3.72,Duke University
46392,166.0,152.0,6.0,4.0,Johns Hopkins University
46394,166.0,152.0,6.0,4.0,Penn State (Pennsylvania State University)
46400,161.0,160.0,4.5,3.6,Ohio State University
46406,153.0,169.0,4.0,3.98,Boston University
46413,160.0,160.0,0.0,3.75,University Of Pennsylvania
46419,160.0,152.0,4.0,3.98,Brown University
46420,170.0,170.0,4.0,3.96,University Of Texas At Austin
46422,169.0,162.0,5.5,3.8,University Of Southern California
46429,155.0,170.0,3.5,3.8,University Of Pennsylvania
46439,159.0,168.0,4.0,3.9,Northeastern University
46443,161.0,165.0,4.5,3.8,Purdue University - West Lafayette
46456,155.0,167.0,4.0,3.66,Georgetown University
46475,160.0,169.0,3.5,3.52,Northeastern University
46489,160.0,167.0,4.0,3.58,Northeastern University
46501,156.0,170.0,3.0,3.93,University Of Rochester
46510,153.0,155.0,4.0,3.4,University Of Arizona
46516,148.0,162.0,4.0,3.58,University Of Michigan
46520,165.0,164.0,4.0,4.0,Northwestern University
46529,159.0,158.0,5.0,3.63,University Of Iowa
46540,149.0,159.0,3.0,3.5,Northwestern University
46566,163.0,170.0,6.0,3.9,"University Of California, Berkeley"
46579,151.0,164.0,3.0,3.88,University Of Florida
46602,163.0,159.0,3.5,3.7,Carnegie Mellon University
46606,156.0,169.0,3.5,4.0,University Of Colorado Boulder
46607,156.0,169.0,3.5,4.0,University Of Wisconsin-Madison
46642,161.0,168.0,4.0,3.64,Northwestern University
46648,160.0,154.0,5.5,3.71,Carnegie Mellon University
46652,156.0,167.0,5.0,3.96,Indiana University Bloomington
46659,154.0,151.0,3.0,3.8,North Carolina State University
46670,166.0,159.0,5.5,3.99,"University Of California, Berkeley"
46674,163.0,147.0,4.5,3.92,University Of Wisconsin-Madison
46696,161.0,167.0,4.0,3.35,Yale University
46701,164.0,165.0,4.0,3.89,Purdue University - West Lafayette
46729,151.0,167.0,3.5,3.59,University Of Texas At Austin
46730,161.0,167.0,4.0,4.0,University Of Michigan
46741,164.0,158.0,4.0,3.84,University Of Colorado Boulder
46742,158.0,155.0,5.0,3.65,"University Of Colorado, Boulder"
46751,165.0,160.0,4.5,3.78,University Of Wisconsin-Madison
46755,157.0,168.0,3.5,3.34,University Of Florida
46759,161.0,160.0,6.0,3.72,University Of Texas At Dallas
46792,163.0,155.0,4.0,3.97,University Of Iowa
46795,161.0,167.0,4.5,3.99,University Of Wisconsin-Madison
46800,167.0,168.0,5.0,3.83,"University Of California, San Diego"
46822,155.0,157.0,4.0,3.61,North Carolina State University (NCSU)
46826,165.0,157.0,5.5,3.77,UNC Chapel Hill
46827,165.0,157.0,5.5,3.77,Columbia University
46841,168.0,163.0,6.0,3.83,"University Of Colorado, Boulder"
46845,167.0,169.0,5.0,3.75,University Of Washington
46857,158.0,170.0,4.5,3.14,North Carolina State University
46863,169.0,161.0,4.5,3.89,University Of Texas At Austin
46864,159.0,170.0,3.0,3.8,"University Of California, Berkeley"
46891,161.0,151.0,4.0,3.8,"University Of California, Berkeley"
46894,155.0,170.0,3.0,3.89,Vanderbilt University
46898,161.0,145.0,4.5,3.6,University Of Maryland College Park
46932,161.0,169.0,4.0,3.5,NCSU (North Carolina State University)
46946,168.0,164.0,3.5,3.7,Princeton University
46948,168.0,166.0,5.0,3.88,Stanford University
46956,162.0,167.0,4.0,3.7,"University Of California, Berkeley"
46962,165.0,163.0,0.0,3.83,University Of Minnesota
46983,154.0,151.0,4.5,3.86,George Washington University
46995,164.0,168.0,5.0,3.85,"University Of California, Berkeley"
46997,156.0,165.0,5.5,4.0,"University Of California, Berkeley"
47013,167.0,160.0,3.5,3.9,"University Of California, Berkeley"
47028,159.0,157.0,5.0,3.81,George Washington University
47041,161.0,157.0,5.0,3.92,George Washington University
47042,152.0,157.0,4.0,3.21,Brown University
47046,153.0,160.0,5.0,3.48,University Of Maryland College Park
47048,153.0,160.0,5.0,3.48,University Of Minnesota
47064,170.0,170.0,5.0,3.97,Northwestern University
47091,161.0,165.0,4.5,3.91,Northwestern University
47116,163.0,168.0,6.0,3.86,Northwestern University
47129,164.0,168.0,4.5,3.96,Northwestern University
47167,169.0,160.0,5.5,3.93,"University Of California, Berkeley"
47171,170.0,155.0,4.0,3.6,University Of Southern California
47188,161.0,167.0,5.0,3.86,Carnegie Mellon University
47189,149.0,150.0,5.5,3.6,"University Of Colorado, Boulder"
47195,169.0,170.0,4.0,3.99,University Of Rochester
47199,168.0,162.0,4.0,3.3,Boston University
47200,168.0,162.0,4.0,3.3,Brown University
47262,157.0,167.0,4.0,3.7,Northwestern University
47275,170.0,155.0,3.5,3.7,University Of Wisconsin-Madison
47279,164.0,167.0,0.0,3.97,Princeton University
47283,161.0,170.0,4.5,3.75,"University Of California, San Diego"
47312,167.0,169.0,4.0,3.9,Johns Hopkins University
47316,165.0,168.0,5.0,3.7,Northeastern University
47318,163.0,169.0,5.0,3.95,Carnegie Mellon University
47322,163.0,169.0,5.0,3.95,University Of Wisconsin-Madison
47323,160.0,170.0,5.0,3.94,University Of Minnesota
47324,163.0,169.0,5.0,3.95,Princeton University
47328,157.0,159.0,4.0,3.82,University Of Texas At Austin
47338,163.0,168.0,4.5,3.8,Penn State University
47358,150.0,170.0,4.0,3.84,University Of Texas At Austin
47365,164.0,160.0,5.0,3.93,Northeastern University
47373,157.0,170.0,3.5,3.92,New York University
47374,159.0,170.0,4.0,4.0,Brown University
47378,167.0,169.0,5.0,3.84,"University Of California, San Diego"
47379,160.0,161.0,0.0,3.98,University Of Notre Dame
47391,160.0,159.0,0.0,3.8,Northeastern University
47404,144.0,166.0,3.5,3.6,Rutgers University
47407,158.0,168.0,5.0,3.7,University Of Chicago
47417,162.0,151.0,4.5,3.9,NCSU (North Carolina State University)
47421,167.0,170.0,4.0,3.9,University Of Southern California
47440,159.0,165.0,3.0,4.0,"University Of California, Irvine"
47443,167.0,164.0,4.0,4.0,Stanford University
47452,156.0,164.0,5.0,3.48,University Of Virginia
47455,166.0,156.0,5.0,3.61,Temple University
47490,156.0,170.0,3.5,3.8,Duke University
47493,156.0,170.0,3.5,3.8,NCSU (North Carolina State University)
47495,150.0,146.0,4.0,3.48,George Washington University
47503,161.0,155.0,4.0,3.95,University Of Virginia
47510,159.0,167.0,5.5,3.7,University Of Kentucky
47511,170.0,170.0,5.0,3.9,University Of Colorado Boulder
47522,160.0,160.0,5.5,2.9,Washington University in St. Louis (WashU/WUSTL)
47538,159.0,160.0,4.5,4.0,Washington University in St. Louis (WashU/WUSTL)
47539,168.0,163.0,4.0,3.9,University Of Colorado Boulder
47543,167.0,170.0,5.0,3.9,University Of Chicago
47578,159.0,168.0,3.5,3.1,Penn State (Pennsylvania State University)
47581,156.0,165.0,4.0,3.6,"University Of Colorado, Boulder"
47589,151.0,152.0,4.5,3.9,George Washington University
47601,158.0,154.0,4.5,4.0,University Of Kentucky
47603,162.0,161.0,4.5,3.3,University Of Minnesota
47605,155.0,164.0,4.0,3.8,University Of Wisconsin-Madison
47607,150.0,161.0,3.5,3.94,University Of Rochester
47624,154.0,157.0,4.5,3.74,University Of Rochester
47639,151.0,168.0,3.0,3.9,University Of Wisconsin-Madison
47644,157.0,165.0,4.5,3.63,Georgia State University
47649,165.0,169.0,4.5,3.88,University Of Wisconsin-Madison
47653,159.0,158.0,4.0,3.1,"University Of California, Irvine"
47660,166.0,160.0,4.5,4.0,"University Of Colorado, Boulder"
47661,154.0,163.0,4.0,3.6,University Of Wisconsin-Madison
47665,167.0,156.0,4.5,3.85,Washington University in St. Louis (WashU/WUSTL)
47666,152.0,170.0,3.5,3.9,University Of Wisconsin-Madison
47668,157.0,160.0,4.0,3.29,University Of Southern California
47690,156.0,163.0,4.0,3.5,Brown University
47708,157.0,160.0,4.5,3.57,University Of Southern California
47731,170.0,167.0,5.5,3.63,University Of Washington
47775,156.0,157.0,5.0,3.9,University Of Washington
47778,158.0,159.0,5.0,3.9,University Of Arizona
47782,158.0,162.0,3.5,3.1,"University Of California, Irvine"
47783,168.0,160.0,5.0,3.76,"University Of California, Berkeley"
47784,157.0,167.0,4.0,3.7,Boston University
47796,165.0,162.0,5.5,4.0,University Of Texas At Austin
47810,170.0,156.0,5.0,3.84,Columbia University
47811,170.0,156.0,5.0,3.84,"University Of California, Los Angeles (UCLA)"
47814,170.0,156.0,5.0,3.84,University Of Wisconsin-Madison
47832,151.0,168.0,3.0,3.87,McGill University
47836,151.0,168.0,3.0,3.87,University Of Southern California
47844,157.0,170.0,4.0,3.9,"University Of California, Davis"
47849,152.0,168.0,3.0,3.55,University Of Washington
47855,166.0,161.0,5.0,3.2,University Of Pittsburgh
47888,159.0,170.0,3.5,4.0,University Of Chicago
47904,165.0,160.0,0.0,3.75,Boston University
47911,157.0,158.0,3.5,3.5,Vanderbilt University
47913,165.0,159.0,4.5,3.67,University Of Texas At Austin
47966,148.0,167.0,3.0,3.51,Purdue University - West Lafayette
47977,165.0,162.0,4.5,3.85,Johns Hopkins University
48004,162.0,163.0,4.5,3.89,University Of Chicago
48029,170.0,160.0,5.5,3.9,Purdue University
48042,162.0,155.0,4.0,4.0,UNC Chapel Hill
48069,159.0,152.0,5.5,3.9,University Of Oregon
48070,157.0,160.0,4.0,3.63,Northwestern University
48074,162.0,170.0,5.0,3.97,Purdue University - West Lafayette
